BRAND-NAME,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
Agriovex Pre-Rolls T29 I 12728,0.32,28.7,0.32,0.1,,,,,,,,,,,,,,,,,,0.32,,0.32,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,
Agriovex Shorties T26 I 14072,0.16,25.36,0.16,0.09,,,,,,,,,,,,,,,,,,0.16,,0.16,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
Agriovex Shorties T29 I 11798,0.32,28.7,0.32,0.1,,,,,,,,,,,,,,,,,,0.32,,0.32,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,
Airadex CH T44 H 9597,42.92,0.82,42.92,0,,,,,,,,,,,,,,,,,,42.92,,42.92,,,,,,42.92,,,,,,,,,,,,,,,,,,,,,
APRITATH T81 SH 6143,5.79,75.7,5.79,0.17,,,,,,,,,,,,,,,,,,5.79,,5.79,,,,,,5.79,,,,,,,,,,,,,,,,,,,,,
Ackona,2.06,23.88,2.06,0.07,0.1,0.12,0.34,0.1,0.17,0.1,0.1,0.1,0.18,0.86,,0.11,0.19,,,,,2.06,,2.06,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,
AkenoPure T1226 2572,49.3,29.3,49.3,0.2,0.1,0.1,0.9,0.1,0.1,0.1,0.4,0.4,1.1,1.3,,0.8,0.5,0.9,,,,49.3,,49.3,,,,,,49.3,,,,,,,,,,,,,,,,,,,,,
AkenoPure T393 2571,49.3,29.3,49.3,0.2,0.1,0.1,0.9,0.1,0.1,0.1,0.4,0.4,1.1,1.3,,0.8,0.5,0.9,,,,49.3,,49.3,,,,,,49.3,,,,,,,,,,,,,,,,,,,,,
Akenocet T18 3240,0.3,17.3,0.3,0.1,0.1,0.34,0.11,0.1,0.1,0.14,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,,,,0.3,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
Akenocet T18 3241,0.3,17.3,0.3,0.1,0.1,0.34,0.11,0.1,0.1,0.14,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,,,,0.3,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
Akenocet T20 2510,0.3,19.2,0.3,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,1.4,,0.1,0.1,0.1,,,,0.3,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
